,timestamp,mx,my,mz,mAc
427,47700.0,85.08,0.83,-27.29,ACCURACY_BAD
428,47800.0,91.31,-14.15,-25.85,ACCURACY_BAD
429,47900.0,91.31,-17.15,-25.43,ACCURACY_BAD
430,48000.0,89.93,-20.03,-25.61,ACCURACY_BAD
431,48100.0,89.93,-20.03,-25.61,ACCURACY_BAD
432,48200.0,91.31,-16.31,-25.85,ACCURACY_BAD
433,48300.0,91.31,-9.53,-26.45,ACCURACY_BAD
434,48400.0,90.65,-2.75,-27.11,ACCURACY_BAD
435,48500.0,90.65,-2.75,-27.11,ACCURACY_BAD
436,48600.0,91.31,14.63,-22.85,ACCURACY_BAD
437,48700.0,91.31,14.63,-22.85,ACCURACY_BAD
438,48800.0,88.55,26.93,-20.27,ACCURACY_BAD
439,48900.0,88.55,25.13,-21.53,ACCURACY_BAD
440,49000.0,88.55,25.13,-21.53,ACCURACY_BAD
441,49100.0,89.93,15.0,-28.37,ACCURACY_BAD
442,49200.0,90.65,5.4,-30.11,ACCURACY_BAD
443,49300.0,92.75,-18.47,-27.95,ACCURACY_BAD
444,49400.0,92.75,-43.02,-17.52,ACCURACY_BAD
445,49500.0,92.75,-43.02,-17.52,ACCURACY_BAD
446,49600.0,90.65,-58.68,3.53,ACCURACY_BAD
447,49700.0,90.65,-58.68,3.53,ACCURACY_BAD
448,49800.0,88.55,-63.11,12.77,ACCURACY_BAD
